,device,bat_capacity,current_cost,battery_cost
0,DD04108401266,2,-1494.3057395569824,-81.46813529591542
1,DD04108401266,4,-1494.3057395569824,63.30580342112283
2,DD04108401266,6,-1494.3057395569824,135.31118434832996
3,DD04108401266,8,-1494.3057395569824,168.1594028183256
4,DD04108401266,10,-1494.3057395569824,182.6933107703687
5,DD04108401266,12,-1494.3057395569824,191.50239284070315
6,DD04108401266,14,-1494.3057395569824,197.89000130977158
7,DD04108401266,16,-1494.3057395569824,202.38316405824676
8,DD04108401266,18,-1494.3057395569824,205.89375724297582
9,DD04108401266,20,-1494.3057395569824,208.59647325767662
0,DD04108624381,2,-2681.8123681880706,-259.33661585613265
1,DD04108624381,4,-2681.8123681880706,-121.71114820144412
2,DD04108624381,6,-2681.8123681880706,-34.443646717725116
3,DD04108624381,8,-2681.8123681880706,17.2328390739848
4,DD04108624381,10,-2681.8123681880706,50.731784139464665
5,DD04108624381,12,-2681.8123681880706,72.5225415534368
6,DD04108624381,14,-2681.8123681880706,90.9134247799956
7,DD04108624381,16,-2681.8123681880706,104.85899346873339
8,DD04108624381,18,-2681.8123681880706,116.10081339773146
9,DD04108624381,20,-2681.8123681880706,125.98816228422208
0,DD04108624683,2,-2142.328995217,-634.0885833021265
1,DD04108624683,4,-2142.328995217,-434.56819797931695
2,DD04108624683,6,-2142.328995217,-307.79885494064024
3,DD04108624683,8,-2142.328995217,-219.83378482168436
4,DD04108624683,10,-2142.328995217,-154.52361792871466
5,DD04108624683,12,-2142.328995217,-109.1402942520354
6,DD04108624683,14,-2142.328995217,-74.73378613153896
7,DD04108624683,16,-2142.328995217,-49.68881524102525
8,DD04108624683,18,-2142.328995217,-31.642378627603254
9,DD04108624683,20,-2142.328995217,-20.370608855552053
0,DD04108625556,2,-1282.509021825041,-2509.368964803218
1,DD04108625556,4,-1282.509021825041,-2306.4876389579363
2,DD04108625556,6,-1282.509021825041,-2151.451167109441
3,DD04108625556,8,-1282.509021825041,-2034.563444200335
4,DD04108625556,10,-1282.509021825041,-1956.1894925810288
5,DD04108625556,12,-1282.509021825041,-1902.9536116277109
6,DD04108625556,14,-1282.509021825041,-1867.2278930994883
7,DD04108625556,16,-1282.509021825041,-1845.066292921592
8,DD04108625556,18,-1282.509021825041,-1829.2682763854316
9,DD04108625556,20,-1282.509021825041,-1817.442557835292
0,DD04108627065,2,-3846.660170851081,-829.6885623061552
1,DD04108627065,4,-3846.660170851081,-571.8046523237152
2,DD04108627065,6,-3846.660170851081,-378.5355797321645
3,DD04108627065,8,-3846.660170851081,-242.76673020490034
4,DD04108627065,10,-3846.660170851081,-151.09604778116787
5,DD04108627065,12,-3846.660170851081,-89.64549006092193
6,DD04108627065,14,-3846.660170851081,-47.0647433804106
7,DD04108627065,16,-3846.660170851081,-17.443458603757982
8,DD04108627065,18,-3846.660170851081,4.257856389129938
9,DD04108627065,20,-3846.660170851081,21.214300076713773
0,DD04108627645,2,-2535.3543488719974,-1042.0323194321168
1,DD04108627645,4,-2535.3543488719974,-898.2375889188029
2,DD04108627645,6,-2535.3543488719974,-801.297927955761
3,DD04108627645,8,-2535.3543488719974,-726.7641817374018
4,DD04108627645,10,-2535.3543488719974,-669.5857422769112
5,DD04108627645,12,-2535.3543488719974,-628.9589521176248
6,DD04108627645,14,-2535.3543488719974,-603.6775098962949
7,DD04108627645,16,-2535.3543488719974,-587.3411860421845
8,DD04108627645,18,-2535.3543488719974,-575.4107437497493
