,Device,Reward_Total,N_Days,Mean_Daily_Cost,DeviceID,Historic Reward,No Solar Cost,Mean Solar,Mean No Solar
0,DD04108401266,172.8599230901085,454.3923611111111,0.38041995835365644,DD04108401266,-239.38280842799998,-989.875589327,-0.5268196143144768,-2.1784600139546555
1,DD04108624381,85.74439839253702,310.55555555555554,0.27610003060208704,DD04108624381,-334.03874903199994,-1790.620891603,-1.075616723179964,-5.765863336109839
2,DD04108624683,41.90103980384797,320.37847222222223,0.13078606534706363,DD04108624683,-526.304067446,-1408.672043617,-1.6427572795245207,-4.396899809922033
3,DD04108625556,-1624.4027620070112,411.3645833333333,-3.948815303554559,DD04108625556,-2428.278303068,-3821.867024578,-5.902983391013851,-9.290705081144768
4,DD04108627065,-62.06144148139898,459.39930555555554,-0.13509258880212616,DD04108627065,-1010.0163369139999,-2520.669778676,-2.19855869327573,-5.48688199610518
5,DD04108627645,-608.1448021412009,466.59027777777777,-1.3033807841809364,DD04108627645,-1230.456814638,-2081.477796405,-2.637124846446174,-4.461039793453095
6,DD04108746744,-85.8318269995941,359.5486111111111,-0.2387210639872825,DD04108746744,-212.89106687999998,-517.941689725,-0.5921064921433125,-1.4405331399401256
7,DD04108747038,-568.6754632517141,424.4513888888889,-1.3397893802170584,DD04108747038,-1231.362235674,-2065.4304389139998,-2.9010677498250352,-4.8661177533681705
8,DD14108624198,-1927.7754752797177,443.4201388888889,-4.347514481661318,DD14108624198,-2695.0643389859997,-3702.239907963,-6.077902428471617,-8.3492822794201
9,DD14108624638,289.44931784996174,461.37152777777777,0.6273671009654862,DD14108624638,76.00874252800003,-561.167118726,0.16474519546990787,-1.216302014623428
10,DD14108625517,-153.33592382475803,388.53125,-0.3946553174931438,DD14108625517,-395.07362248899994,-943.5686767039999,-1.0168387291601382,-2.4285528556686238
11,DD14108626161,-318.4108176369806,311.3923611111111,-1.022538948935119,DD14108626161,-948.74708444,-2347.613405223,-3.046789847556562,-7.539084763820921
12,DD14108747277,-73.2983205024528,402.40625,-0.18215005483253005,DD14108747277,-558.0364828129999,-1575.5336295969998,-1.3867490448098156,-3.9152812104608214
13,DD24108396973,395.27813380241076,650.6701388888889,0.6074938900337489,DD24108396973,137.90252069400003,-753.651670738,0.21193921843330332,-1.1582699523063509
14,DD24108397380,373.07925884862374,471.4375,0.7913652580641628,DD24108397380,-440.676832715,-1849.634427381,-0.9347513354686464,-3.923392660492642
15,DD24108411689,41.86069337168255,474.4270833333333,0.08823419834628445,DD24108411689,-387.41645433599996,-1077.5454859699998,-0.8165985205018333,-2.2712562663985065
16,DD24108625051,70.427126359202,381.47569444444446,0.18461759788331294,DD24108625051,-443.11006446899995,-1194.783498607,-1.1615682753112637,-3.1320042561217494
17,DD24108626539,-544.6210232004213,347.5763888888889,-1.566910298312934,DD24108626539,-862.783373562,-1535.040707915,-2.482284185988851,-4.416412498047191
18,DD24108628289,-8.857157046129418,471.37152777777777,-0.018790182529448436,DD24108628289,-424.537395416,-1210.885428179,-0.9006428483651283,-2.568855683514802
19,DD24108747257,-691.0555879751886,305.63194444444446,-2.2610712019364967,DD24108747257,-1235.480510134,-1819.3051547359998,-4.042380165397196,-5.952601446956079
20,DD24108747526,-646.8441631133062,419.40972222222223,-1.5422726962218078,DD24108747526,-1082.421766083,-1759.022104764,-2.580821828230019,-4.194042273135458
21,DD34108397148,167.67783595846063,473.44097222222223,0.35416840915018344,DD34108397148,-176.65201785699998,-700.94972279,-0.3731236378377569,-1.480543011518214
22,DD34108399074,-383.71892450723715,480.40277777777777,-0.7987441835416195,DD34108399074,-954.265229268,-2058.75015054,-1.9863857442336004,-4.285466791144006
23,DD34108624640,-45.870157474225884,404.5798611111111,-0.11337726338689016,DD34108624640,-347.809945197,-2518.9409316779997,-0.8596818048278478,-6.226066034923609
24,DD34108625629,-703.3545152540692,466.41319444444446,-1.5080073283343773,DD34108625629,-1259.214741145,-2934.757510175,-2.6997837028278755,-6.292183722783952
25,DD34108625630,8.55316202203933,346.5729166666667,0.024679256833752387,DD34108625630,-351.51968376599996,-883.664566115,-1.014273380467554,-2.549721930421087
26,DD34108626977,-1116.376006585759,359.4201388888889,-3.1060474519789643,DD34108626977,-1953.78356071,-3134.138091894,-5.43593235134215,-8.719984644107232
27,DD34108627045,82.3635696281648,472.5173611111111,0.17430802845950297,DD34108627045,-679.708375685,-1740.438962062,-1.4384833905079912,-3.6833333657188962
